iter	Passed	Remaining
838	2474	474
839	2476	471
840	2479	468
841	2481	465
842	2484	462
843	2486	459
844	2489	456
845	2491	453
846	2493	450
847	2496	447
848	2498	444
849	2501	441
850	2503	438
851	2506	435
852	2509	432
853	2511	429
854	2513	426
855	2516	423
856	2518	420
857	2521	417
858	2523	414
859	2525	411
860	2528	408
861	2530	405
862	2533	402
863	2535	399
864	2538	396
865	2540	393
866	2542	390
867	2544	386
868	2546	383
869	2549	380
870	2551	377
871	2553	374
872	2555	371
873	2558	368
874	2560	365
875	2562	362
876	2564	359
877	2567	356
878	2569	353
879	2571	350
880	2573	347
881	2575	344
882	2577	341
883	2580	338
884	2582	335
885	2584	332
886	2587	329
887	2589	326
888	2591	323
889	2593	320
890	2596	317
891	2598	314
892	2600	311
893	2602	308
894	2605	305
895	2607	302
896	2609	299
897	2611	296
898	2613	293
899	2616	290
900	2618	287
901	2620	284
902	2622	281
903	2624	278
904	2627	275
905	2629	272
906	2631	269
907	2634	266
908	2636	263
909	2639	261
910	2641	258
911	2643	255
912	2646	252
913	2648	249
914	2650	246
915	2653	243
916	2655	240
917	2657	237
918	2659	234
919	2661	231
920	2664	228
921	2666	225
922	2668	222
923	2671	219
924	2673	216
925	2675	213
926	2677	210
927	2680	207
928	2682	204
929	2684	202
930	2686	199
931	2688	196
932	2690	193
933	2692	190
934	2695	187
935	2697	184
936	2699	181
937	2702	178
938	2704	175
939	2706	172
940	2708	169
941	2710	166
942	2713	163
943	2715	161
944	2717	158
945	2719	155
946	2722	152
947	2724	149
948	2726	146
949	2728	143
950	2731	140
951	2733	137
952	2735	134
953	2738	132
954	2740	129
955	2742	126
956	2745	123
957	2747	120
958	2749	117
959	2751	114
960	2753	111
961	2756	108
962	2758	105
963	2760	103
964	2762	100
965	2764	97
966	2767	94
967	2769	91
968	2771	88
969	2773	85
970	2775	82
971	2778	80
972	2780	77
973	2782	74
974	2784	71
975	2786	68
976	2789	65
977	2791	62
978	2793	59
979	2795	57
980	2798	54
981	2800	51
982	2802	48
983	2805	45
984	2807	42
985	2809	39
986	2811	37
987	2814	34
988	2816	31
989	2818	28
990	2821	25
991	2823	22
992	2825	19
993	2827	17
994	2829	14
995	2832	11
996	2834	8
997	2836	5
998	2838	2
999	2840	0
